Archive:  /home/runner/work/mltd-relive/mltd-relive/input/mltd-relive-game-client-zh-fixed.apk
 Length   Method    Size  Cmpr    Date    Time   CRC-32   Name
--------  ------  ------- ---- ---------- ----- --------  ----
   17536  Defl:N     4171  76% 2024-01-15 19:16 c3e91ad8  AndroidManifest.xml
 4907728  Defl:N  1981330  60% 2024-01-15 19:16 a8172467  classes.dex
   26376  Defl:N     9240  65% 2024-01-15 19:16 6a3bdebf  lib/arm64-v8a/libAudioPlayer.so
  132792  Defl:N    52666  60% 2024-01-15 19:16 c26cb878  lib/arm64-v8a/libBlueDoveMediaRender.so
 1749416  Defl:N   740271  58% 2024-01-15 19:16 39d35b0b  lib/arm64-v8a/libcri_ware_unity.so
 3974032  Defl:N   995754  75% 2024-01-15 19:16 01f3e0b4  lib/arm64-v8a/libFirebaseCppApp-6.2.0.so
  108744  Defl:N    34657  68% 2024-01-15 19:16 e3e8a9b5  lib/arm64-v8a/libFirebaseCppMessaging.so
 3718560  Defl:N   917761  75% 2024-01-15 19:16 cbef4bb7  lib/arm64-v8a/libgpg.so
99150888  Defl:N 25787197  74% 2024-01-15 19:16 5b684e67  lib/arm64-v8a/libil2cpp.so
    6144  Defl:N     2265  63% 2024-01-15 19:16 37007b22  lib/arm64-v8a/libmain.so
  272384  Defl:N   111876  59% 2024-01-15 19:16 24ecd760  lib/arm64-v8a/libSmartBeatNdk.so
15971328  Defl:N  6782020  58% 2024-01-15 19:16 49b76752  lib/arm64-v8a/libunity.so
  357064  Defl:N   184644  48% 2024-01-15 19:16 b66891bc  lib/arm64-v8a/libzipw.so
   26688  Defl:N    15253  43% 2024-01-15 19:16 ee663f76  lib/arm64-v8a/lib_burst_generated.so
     716  Defl:N      277  61% 2024-01-15 19:16 1a043207  res/color/common_google_signin_btn_text_dark.xml
     716  Defl:N      277  61% 2024-01-15 19:16 095b6658  res/color/common_google_signin_btn_text_light.xml
     468  Defl:N      230  51% 2024-01-15 19:16 083a5e18  res/color/common_google_signin_btn_tint.xml
     700  Defl:N      279  60% 2024-01-15 19:16 9d9d8f63  res/drawable/common_google_signin_btn_icon_dark.xml
    1016  Defl:N      400  61% 2024-01-15 19:16 9e70c17e  res/drawable/common_google_signin_btn_icon_dark_focused.xml
     652  Defl:N      283  57% 2024-01-15 19:16 619e82d4  res/drawable/common_google_signin_btn_icon_dark_normal.xml
    1276  Defl:N      466  64% 2024-01-15 19:16 547243d3  res/drawable/common_google_signin_btn_icon_disabled.xml
     700  Defl:N      279  60% 2024-01-15 19:16 15323142  res/drawable/common_google_signin_btn_icon_light.xml
    1016  Defl:N      398  61% 2024-01-15 19:16 4d12af37  res/drawable/common_google_signin_btn_icon_light_focused.xml
     652  Defl:N      284  56% 2024-01-15 19:16 90eb9c06  res/drawable/common_google_signin_btn_icon_light_normal.xml
     700  Defl:N      280  60% 2024-01-15 19:16 9038b148  res/drawable/common_google_signin_btn_text_dark.xml
    1016  Defl:N      400  61% 2024-01-15 19:16 2a6c4630  res/drawable/common_google_signin_btn_text_dark_focused.xml
     692  Defl:N      301  57% 2024-01-15 19:16 a5fd67f2  res/drawable/common_google_signin_btn_text_dark_normal.xml
    1296  Defl:N      472  64% 2024-01-15 19:16 fbd7a36d  res/drawable/common_google_signin_btn_text_disabled.xml
