mst_theater_contact_id,mst_idol_id,resource_id,reaction_id,reaction_id2,mst_card_id,room_id,position_id,motion_id
1,1,theater_001har,fure_har_001,fure_har_001,0,0,,
2,1,theater_001har,fure_har_002,fure_har_002,0,0,,
3,1,theater_001har,fure_har_003,fure_har_003,0,0,,
4,2,theater_002chi,fure_chi_001,fure_chi_001,0,0,,
5,2,theater_002chi,fure_chi_002,fure_chi_001,0,0,,
6,2,theater_002chi,fure_chi_003,fure_chi_001,0,0,,
7,3,theater_003mik,fure_mik_001,fure_mik_001,0,0,,
8,3,theater_003mik,fure_mik_002,fure_mik_002,0,0,,
9,3,theater_003mik,fure_mik_003,fure_mik_003,0,0,,
10,4,theater_004yuk,fure_yuk_001,fure_yuk_001,0,0,,
11,4,theater_004yuk,fure_yuk_002,fure_yuk_002,0,0,,
12,4,theater_004yuk,fure_yuk_003,fure_yuk_003,0,0,,
13,5,theater_005yay,fure_yay_001,fure_yay_001,0,0,,
14,5,theater_005yay,fure_yay_002,fure_yay_002,0,0,,
15,5,theater_005yay,fure_yay_003,fure_yay_003,0,0,,
16,6,theater_006mak,fure_mak_001,fure_mak_001,0,0,,
17,6,theater_006mak,fure_mak_002,fure_mak_002,0,0,,
18,6,theater_006mak,fure_mak_003,fure_mak_003,0,0,,
19,7,theater_007ior,fure_ior_001,fure_ior_001,0,0,,
20,7,theater_007ior,fure_ior_002,fure_ior_002,0,0,,
21,7,theater_007ior,fure_ior_003,fure_ior_003,0,0,,
22,8,theater_008tak,fure_tak_001,fure_tak_001,0,0,,
23,8,theater_008tak,fure_tak_002,fure_tak_002,0,0,,
24,8,theater_008tak,fure_tak_003,fure_tak_003,0,0,,
25,9,theater_009rit,fure_rit_001,fure_rit_001,0,0,,
26,9,theater_009rit,fure_rit_002,fure_rit_002,0,0,,
27,9,theater_009rit,fure_rit_003,fure_rit_003,0,0,,
28,10,theater_010azu,fure_azu_001,fure_azu_001,0,0,,
29,10,theater_010azu,fure_azu_002,fure_azu_002,0,0,,
30,10,theater_010azu,fure_azu_003,fure_azu_003,0,0,,
31,11,theater_011ami,fure_ami_001,fure_ami_001,0,0,,
32,11,theater_011ami,fure_ami_002,fure_ami_002,0,0,,
33,11,theater_011ami,fure_ami_003,fure_ami_003,0,0,,
34,12,theater_012mam,fure_mam_001,fure_mam_001,0,0,,
35,12,theater_012mam,fure_mam_002,fure_mam_002,0,0,,
36,12,theater_012mam,fure_mam_003,fure_mam_003,0,0,,
37,13,theater_013hib,fure_hib_001,fure_hib_001,0,0,,
38,13,theater_013hib,fure_hib_002,fure_hib_002,0,0,,
39,13,theater_013hib,fure_hib_003,fure_hib_003,0,0,,
40,14,theater_014mir,fure_mir_001,fure_mir_001,0,0,,
41,14,theater_014mir,fure_mir_002,fure_mir_002,0,0,,
42,14,theater_014mir,fure_mir_003,fure_mir_003,0,0,,
43,15,theater_015siz,fure_siz_001,fure_siz_001,0,0,,
44,15,theater_015siz,fure_siz_002,fure_siz_002,0,0,,
45,15,theater_015siz,fure_siz_003,fure_siz_003,0,0,,
46,16,theater_016tsu,fure_tsu_001,fure_tsu_001,0,0,,
47,16,theater_016tsu,fure_tsu_002,fure_tsu_002,0,0,,
48,16,theater_016tsu,fure_tsu_003,fure_tsu_003,0,0,,
49,17,theater_017kth,fure_kth_001,fure_kth_001,0,0,,
50,17,theater_017kth,fure_kth_002,fure_kth_002,0,0,,
51,17,theater_017kth,fure_kth_003,fure_kth_003,0,0,,
52,18,theater_018ele,fure_ele_001,fure_ele_001,0,0,,
53,18,theater_018ele,fure_ele_002,fure_ele_002,0,0,,
54,18,theater_018ele,fure_ele_003,fure_ele_003,0,0,,
55,19,theater_019min,fure_min_001,fure_min_001,0,0,,
56,19,theater_019min,fure_min_002,fure_min_002,0,0,,
57,19,theater_019min,fure_min_003,fure_min_003,0,0,,
58,20,theater_020meg,fure_meg_001,fure_meg_001,0,0,,
59,20,theater_020meg,fure_meg_002,fure_meg_002,0,0,,
60,20,theater_020meg,fure_meg_003,fure_meg_003,0,0,,
61,21,theater_021mat,fure_mat_001,fure_mat_001,0,0,,
62,21,theater_021mat,fure_mat_002,fure_mat_002,0,0,,
63,21,theater_021mat,fure_mat_003,fure_mat_003,0,0,,
64,22,theater_022ser,fure_ser_001,fure_ser_001,0,0,,
65,22,theater_022ser,fure_ser_002,fure_ser_002,0,0,,
66,22,theater_022ser,fure_ser_003,fure_ser_003,0,0,,
67,23,theater_023aka,fure_aka_001,fure_aka_001,0,0,,
68,23,theater_023aka,fure_aka_002,fure_aka_002,0,0,,
69,23,theater_023aka,fure_aka_003,fure_aka_003,0,0,,
70,24,theater_024ann,fure_ann_001,fure_ann_001,0,0,,
71,24,theater_024ann,fure_ann_002,fure_ann_002,0,0,,
72,24,theater_024ann,fure_ann_003,fure_ann_003,0,0,,
73,25,theater_025roc,fure_roc_001,fure_roc_001,0,0,,
74,25,theater_025roc,fure_roc_002,fure_roc_002,0,0,,
75,25,theater_025roc,fure_roc_003,fure_roc_003,0,0,,
76,26,theater_026yur,fure_yur_001,fure_yur_001,0,0,,
77,26,theater_026yur,fure_yur_002,fure_yur_002,0,0,,
78,26,theater_026yur,fure_yur_003,fure_yur_003,0,0,,
79,27,theater_027say,fure_say_001,fure_say_001,0,0,,
80,27,theater_027say,fure_say_002,fure_say_002,0,0,,
81,27,theater_027say,fure_say_003,fure_say_003,0,0,,
82,28,theater_028ari,fure_ari_001,fure_ari_001,0,0,,
83,28,theater_028ari,fure_ari_002,fure_ari_002,0,0,,
84,28,theater_028ari,fure_ari_003,fure_ari_003,0,0,,
85,29,theater_029umi,fure_umi_001,fure_umi_001,0,0,,
86,29,theater_029umi,fure_umi_002,fure_umi_002,0,0,,
87,29,theater_029umi,fure_umi_003,fure_umi_003,0,0,,
88,30,theater_030iku,fure_iku_001,fure_iku_001,0,0,,
89,30,theater_030iku,fure_iku_002,fure_iku_002,0,0,,
90,30,theater_030iku,fure_iku_003,fure_iku_003,0,0,,
91,31,theater_031tom,fure_tom_001,fure_tom_001,0,0,,
92,31,theater_031tom,fure_tom_002,fure_tom_002,0,0,,
93,31,theater_031tom,fure_tom_003,fure_tom_003,0,0,,
94,32,theater_032emi,fure_emi_001,fure_emi_001,0,0,,
95,32,theater_032emi,fure_emi_002,fure_emi_002,0,0,,
96,32,theater_032emi,fure_emi_003,fure_emi_003,0,0,,
97,33,theater_033sih,fure_sih_001,fure_sih_001,0,0,,
98,33,theater_033sih,fure_sih_002,fure_sih_002,0,0,,
99,33,theater_033sih,fure_sih_003,fure_sih_003,0,0,,
100,34,theater_034ayu,fure_ayu_001,fure_ayu_001,0,0,,
101,34,theater_034ayu,fure_ayu_002,fure_ayu_002,0,0,,
102,34,theater_034ayu,fure_ayu_003,fure_ayu_003,0,0,,
103,35,theater_035hin,fure_hin_001,fure_hin_001,0,0,,
104,35,theater_035hin,fure_hin_002,fure_hin_002,0,0,,
105,35,theater_035hin,fure_hin_003,fure_hin_003,0,0,,
106,36,theater_036kan,fure_kan_001,fure_kan_001,0,0,,
107,36,theater_036kan,fure_kan_002,fure_kan_002,0,0,,
108,36,theater_036kan,fure_kan_003,fure_kan_003,0,0,,
109,37,theater_037nao,fure_nao_001,fure_nao_001,0,0,,
110,37,theater_037nao,fure_nao_002,fure_nao_002,0,0,,
111,37,theater_037nao,fure_nao_003,fure_nao_003,0,0,,
112,38,theater_038chz,fure_chz_001,fure_chz_001,0,0,,
113,38,theater_038chz,fure_chz_002,fure_chz_002,0,0,,
114,38,theater_038chz,fure_chz_003,fure_chz_003,0,0,,
115,39,theater_039kon,fure_kon_001,fure_kon_001,0,0,,
116,39,theater_039kon,fure_kon_002,fure_kon_002,0,0,,
117,39,theater_039kon,fure_kon_003,fure_kon_003,0,0,,
118,40,theater_040tam,fure_tam_001,fure_tam_001,0,0,,
119,40,theater_040tam,fure_tam_002,fure_tam_002,0,0,,
120,40,theater_040tam,fure_tam_003,fure_tam_003,0,0,,
121,41,theater_041fuk,fure_fuk_001,fure_fuk_001,0,0,,
122,41,theater_041fuk,fure_fuk_002,fure_fuk_002,0,0,,
123,41,theater_041fuk,fure_fuk_003,fure_fuk_003,0,0,,
124,42,theater_042miy,fure_miy_001,fure_miy_001,0,0,,
125,42,theater_042miy,fure_miy_002,fure_miy_002,0,0,,
126,42,theater_042miy,fure_miy_003,fure_miy_003,0,0,,
127,43,theater_043nor,fure_nor_001,fure_nor_001,0,0,,
128,43,theater_043nor,fure_nor_002,fure_nor_002,0,0,,
129,43,theater_043nor,fure_nor_003,fure_nor_003,0,0,,
130,44,theater_044miz,fure_miz_001,fure_miz_001,0,0,,
131,44,theater_044miz,fure_miz_002,fure_miz_002,0,0,,
132,44,theater_044miz,fure_miz_003,fure_miz_003,0,0,,
133,45,theater_045kar,fure_kar_001,fure_kar_001,0,0,,
134,45,theater_045kar,fure_kar_002,fure_kar_002,0,0,,
135,45,theater_045kar,fure_kar_003,fure_kar_003,0,0,,
136,46,theater_046rio,fure_rio_001,fure_rio_001,0,0,,
137,46,theater_046rio,fure_rio_002,fure_rio_002,0,0,,
138,46,theater_046rio,fure_rio_003,fure_rio_003,0,0,,
139,47,theater_047sub,fure_sub_001,fure_sub_001,0,0,,
140,47,theater_047sub,fure_sub_002,fure_sub_002,0,0,,
141,47,theater_047sub,fure_sub_003,fure_sub_003,0,0,,
142,48,theater_048rei,fure_rei_001,fure_rei_001,0,0,,
143,48,theater_048rei,fure_rei_002,fure_rei_002,0,0,,
144,48,theater_048rei,fure_rei_003,fure_rei_003,0,0,,
145,49,theater_049mom,fure_mom_001,fure_mom_001,0,0,,
146,49,theater_049mom,fure_mom_002,fure_mom_002,0,0,,
147,49,theater_049mom,fure_mom_003,fure_mom_003,0,0,,
148,50,theater_050jul,fure_jul_001,fure_jul_001,0,0,,
149,50,theater_050jul,fure_jul_002,fure_jul_002,0,0,,
150,50,theater_050jul,fure_jul_003,fure_jul_003,0,0,,
151,51,theater_051tmg,fure_tmg_001,fure_tmg_001,0,0,,
152,51,theater_051tmg,fure_tmg_002,fure_tmg_002,0,0,,
153,51,theater_051tmg,fure_tmg_003,fure_tmg_003,0,0,,
154,52,theater_052kao,fure_kao_001,fure_kao_001,0,0,,
155,52,theater_052kao,fure_kao_002,fure_kao_002,0,0,,
156,52,theater_052kao,fure_kao_003,fure_kao_003,0,0,,
157,1,card_0000_contact,fure_har_SR0053,fure_har_SR0053,202,0,,
158,1,card_0000_contact,fure_har_SR0083,fure_har_SR0083,363,0,,
159,1,card_0000_contact,fure_har_SR0093,fure_har_SR0093,530,0,,
160,1,card_0000_contact,fure_har_SR0103,fure_har_SR0103,553,0,,
161,2,card_0000_contact,fure_chi_SR1,fure_chi_SR1,78,0,,
162,3,card_0000_contact,fure_mik_SR1,fure_mik_SR1,79,0,,
163,4,card_0000_contact,fure_yuk_SR1,fure_yuk_SR1,80,0,,
